Origin,Destination,Distance
Srinagar,Amritsar,420
Srinagar,Shimla,400
Srinagar,Nainital,550
Amritsar,Srinagar,420
Amritsar,Shimla,290
Amritsar,Delhi,450
Amritsar,Jaipur,480
Amritsar,Nainital,450
Shimla,Amritsar,290
Shimla,Srinagar,400
Shimla,Delhi,350
Shimla,Jaipur,500
Shimla,Nainital,340
Delhi,Shimla,350
Delhi,Amritsar,450
Delhi,Jaipur,270
Delhi,Agra,210
Delhi,Lucknow,440
Delhi,Nainital,310
Jhodpur,Jaipur,340
Jhodpur,Ahmedabad,450
Rajkot,Ahmedabad,215
Rajkot,Mumbai,395
Rajkot,Surat,360
Jaipur,Delhi,270
Jaipur,Agra,240
Jaipur,Jodhpur,340
Jaipur,Nainital,500
Agra,Delhi,210
Agra,Jaipur,240
Agra,Lucknow,330
Agra,Jhansi,230
Lucknow,Delhi,440
Lucknow,Agra,330
Lucknow,Varanasi,320
Lucknow,Kanpur,90
Lucknow,Patna,500
Ahmedabad,Rajkot,215
Ahmedabad,Jodhpur,450
Ahmedabad,Surat,265
Ahmedabad,Indore,400
Bhopal,Indore,190
Bhopal,Jabalpur,300
Bhopal,Nagpur,350
Bhopal,Jhansi,350
Patna,Lucknow,500
Patna,Varanasi,280
Patna,Gangtok,566
Patna,Ranchi,300
Indore,Bhopal,190
Indore,Ahmedabad,400
Indore,Nagpur,440
Indore,Nagpur,440
Mumbai,Rajkot,395
Mumbai,Surat,280
Mumbai,Solapur,400
Solapur,Mumbai,400
Solapur,Hyderabad,300
Solapur,Raichur,230
Solapur,Nagpur,699
Nagpur,Bhopal,350
Nagpur,Indore,440
Nagpur,Raipur,290
Nagpur,Jabalpur,270
Nagpur,Solapur,699
Ranchi,Patna,300
Ranchi,Bhubaneswar,509
Ranchi,Kolkata,400
Ranchi,Varanasi,426
Kolakata,Ranchi,400
Kolakata,Bhubaneswar,441
Kolakata,Patna,470
Raipur,Nagpur,290
Raipur,Ranchi,430
Raipur,Bhubaneswar,542
Raipur,Visakhapatnam,470
Panaji,Mumbai,570
Panaji,Benguluru,580
Hyderabad,Solapur,300
Hyderabad,Raichur,200
Hyderabad,Vijayawada,280
Hyderabad,Nagpur,500
Visakhapatnam,Bhubaneswar,441
Visakhapatnam,Vijayawada,350
Visakhapatnam,Raipur,470
Vijayawada,Hyderabad,280
Vijayawada,Visakhapatnam,350
Vijayawada,Raichur,470
Raichur,Hyderabad,200
Raichur,Solapur,230
Raichur,Benguluru,410
Benguluru,Raichur,410
Benguluru,Chennai,350
Benguluru,Kochi,370
Benguluru,Ooty,271
Kochi,Benguluru,370
Kochi,Ooty,280
Kochi,Thiruvananthapuram,200
Kochi,Madurai,225
Ooty,Benguluru,270
Ooty,Kochi,280
Ooty,Madurai,340
Chennai,Benguluru,350
Chennai,Vijayawada,450
Chennai,Madurai,455
Thiruvananthapuram,Kochi,200
Thiruvananthapuram,Madurai,250
Madurai,Kochi,255
Madurai,Thiruvananthapuram,250
Madurai,Ooty,340
Gangtok,Patna,643
Gangtok,Guwahati,524
Guwahati,Gangtok,524
Guwahati,Aizawi,475
Guwahati,Kohima,348
Kohima,Imphal,130
Kohima,Guwahati,348
Aizawi,Imphal,320
Aizawi,Guwahati,475
Jabalpur,Bhopal,300
Jabalpur,Nagpur,270
Jabalpur,Raipur,400
Nainital,Delhi,310
Nainital,Shimla,340
Nainital,Agra,380
Imphal,Kohima,130
Imphal,Aizawi,320
Varanasi,Lucknow,320
Varanasi,Patna,280
Varanasi,Ranchi,410
Surat,Mumbai,270
Surat,Ahmedabad,265
Surat,Rajkot,360
Jhansi,Agra,230
Jhansi,Bhopal,350
Jhansi,Indore,400
Bhubaneswar,Kolkata,440
Bhubaneswar,Ranchi,380
Bhubaneswar,Visakhapatnam,440
Bhubaneswar,Raipur,500
